Original Order,Year,Event Type,Game System,Game ID,Title,Long Description,GM Names,Total Rounds,Experience Required,Cost $,Location,Also Runs,Start Date & Time,Short Description,Minimum Players,Prize,Rulex Complexity,Rules Edition,Age Required,End Date & Time,Group,Maximum Players,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified
369,1990,MINIATURE GAMING,SEMINAR,900059,West End Games Of The 90's,"Come meet the West End design staff and hear about the directions the company is going in. Ask questions, discover secrets. Find out what’s new and exciting!","West End Games, Ltd",Sem,I,FREE,"S5, Atrium SW",,,,,,,,,,,,,,,,,,,,,,,,
370,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400302,AD&D 2nd Edition 1 Year Old,Attend this open discussion of what is planned for the AD&D game and express your opinions on what you’d like to see. This is your chance to be heard.,"TSR, Inc.",Sem,N,FREE,"S2, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
371,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400307,The Complete Adventurer,"Learn everything and anything about your favorite character classes from the barbarian to the invoker! All information comes from TSR’s Complete Fighter, Priest, Thief and Wizard books.","TSR, Inc.",Sem,N,FREE,"S4, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
372,1990,ROLE-PLAYING GAME,SEMINAR,400429,Gaming and Racism,Does racism occur on any level in gaming? Are some game systems inherently racist in orientation? Do games tend to have an ethnocentric or multi-cultural worldview?,David Millians,Sem,N,FREE,"S6,",,,,,,,,,,,,,,,,,,,,,,,,
373,1990,ROLE-PLAYING GAME,SEMINAR,400363,Having Your Cake & Eating It!,Starting up your new campaign while you are still designing it. Let your players help. We discuss techniques and shortcuts to designing a full body campaign on the run.,John Wheeler & Peter Rice,Sem,I,4,"S3, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
374,1990,ROLE-PLAYING GAME,SEMINAR,400384,The Philosophy Of Role-playing,Frank Chadwick/GM,Frank Chadwick,Sem,N,FREE,"S1, Octagon West",11B,,,,,,,,,,,,,,,,,,,,,,,
375,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450005,ZEF V—Rook’s Game,"The 4 heroes of the resistance traverse the slums of Hitchcock, the evil Queen Bea’s dark tower and another world in search of Nan’s true love. Play characters roleplaying other characters. Std XP",RPGA Network HQ,3,I,3,"ZEF, Atrium E","04A, 04B, 06A, 06B Semi Final: 08 Final: 13",,,,,,,,,,,,,,,,,,,,,,,
376,1990,MINIATURE GAMING,A FISTFUL OF MINIATURES by North Shore,300067,First Blood,"Ever want to command an Army? Here’s your big break! Fast, fun, easy-to-learn rules will be taught.",Jayson Gralewicz,1,N,2,"W212, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
377,1990,MINIATURE GAMING,"AD&D Game by TSR, Inc.",300131,The Throne Of Wishes,"Trapped in a plague infested city a stranger offers you a chance to get out. But first you must help find the Throne of Wishes.... AD&D 2nd Edition 6-8 players, skilled.",Joseph Zellmer,1,S,2,"W421, W. Game Hall","07, 08, 11, 12",,,,,,,,,,,,,,,,,,,,,,,
378,1990,MINIATURE GAMING,"AD&D Game by TSR, Inc.",300075,To Live and Die in Greyhawk,"Using the Cities of Mystery and its expansions, explore the city of legend. Guard yourself, make friends, make enemies—get as far as you can before Monster Day arrives. Bring own figure.","TSR, Inc.",1,N,FREE,"AA, Atrium West",,,,,,,,,,,,,,,,,,,,,,,,
379,1990,MINIATURE GAMING,BATTLETECH by FASA,300028,Mechwarrior VS Machine,"So, you think you’re some hotshot Mechwarrior? Well, come test yourself against the ultimate—a 386-20mhz Mech. Eight players battle a like # on the battle field. Programming done in C, by myself William Dufton ll",William Dufton II,3,I,2,"W223, W. Game Hall Semi Final: 05,06 Final: 08",,,,,,,,,,,,,,,,,,,,,,,,
380,1990,MINIATURE GAMING,Clay-o-Rama,300022,Claydiator Brawl,Your Play-Doh Gladiator is out for blood. Blood? Nah. Create your own monster from our Play-Doh and battle for Claydiator supremacy. You won’t be held responsible for the carnage!,Jeff Wilder,1,N,2,"W121, W. Game Hall","05, 09",,,,,,,,,,,,,,,,,,,,,,,
381,1990,MINIATURE GAMING,CODEX TITANICUS by Games Workshop,300002,The Mechanicus Triangle,"If you like wimpy marines, sissy elders and smelly orks...well then, this is for you. They’re all here in one. Tremendous conflict.",Chris Furmanek,1,I,2,"W120, W. Game Hall","13B, C14A",,,,,,,,,,,,,,,,,,,,,,,
382,1990,MINIATURE GAMING,HERO QUEST by Chaosium,300129,Quest For Shrapnel Of Death,Delve for the hidden shrapnel of Phadx in this fun filled game of Hero Quest. Both Hero Quest and Advanced Hero Quest sets will.be used. Rules taught on-site.,Colin Crisanti,1,N,2,"W217, W. Game Hall","08, 12",,,,,,,,,,,,,,,,,,,,,,,
383,1990,MINIATURE GAMING,JAGDPANZER by Greenfield,300072,Road To Dunkirk,Elements of the BEF and French mechanized Battalion try to stem the German Armored advance.,Jeff Gullion,1,I,2,"W218, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
384,1990,MINIATURE GAMING,WARHAMMER RULES by Games Workshop,300127,Nova Pass,A group of the black legion is trying to outflank a marine force and runs into a little eldar problem.,Timothy Schmidt,1,S,2,"W126, W. Game Hall",8,,,,,,,,,,,,,,,,,,,,,,,
385,1990,ROLE-PLAYING GAME,"AD&D 2nd Edition Game by TSR, Inc.",400212,"EXP V, Terminal Velocity","Amidst the winds of change a bird of prey flies. A beacon shines in darkness. Another pair of eyes. Myani deal was broken. Elders demand repentance. Hunt of infinity, Serve Paul’s sentence. LVL 10-15",Lee Irons—KUGAR,3,S,2,"KGB, Kilbourn Semi Final: 05,07 Final: 09",,,,,,,,,,,,,,,,,,,,,,,,
386,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400023,On The Dark Side,"Wanted, several adventurers familiar with the criminal element. To eliminate a grave threat to the city of Port Misk. Maximum danger, maximum reward. Skills at stealth and deception vital.",Karl Allen,3,S,2,"E503, E. Game Hall","05 Semi Final: 06,08 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
387,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400226,War On The Surface Dwellers,"The event gives the characters, a challenge to kill a sovereign king. It has three parts, if they pass parts 1 & 2 they will make it to a final battle in the Kings Palace.",Mike Miller,3,S,2,"E103, E. Game Hall Semi Final: 06,08 Final: 11",,,,,,,,,,,,,,,,,,,,,,,,
388,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400022,The Bonds of Blood,One in your party of six seasoned professionals had received a most puzzling letter from his cousin urging him to come as quickly as possible to Donagael Near. A puzzle-solving role-playing,Steve Miller,2,S,2,"E507, E. Game Hall","06, 08 Final: 10, 12",,,,,,,,,,,,,,,,,,,,,,,
389,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400278,Life's A Lich And Then You Die,A challenging AD&D Game Tourney. Invade the Tumb of an ultra powerful Lich & he’s ready for anything! A mix of humor and excitement. In fact you could die laughing.... Characters provided.,Mark Karau,2,S,2,"E302, E. Game Hall Location: E402, E. Game Hall",08 Final: 12,,,,,,,,,,,,,,,,,,,,,,,
390,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400246,Search For The Third Ring,"You have recovered the first 2 rings on your quest for 12. The first two were easy. A beholer and an evil Wizard controlling undead. Now it’s hard, as you fight on a magic poor world. 8 Char,Level 6-10",Thurston Johnson ,2,I,2,"E113, E. Game Hall","07, 10 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
391,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400258,Adventure At A Top,"The intrigue of the King’s Court, the jealousy,the hunger for power and ohhhhhh, the cost of failure. Roleplay the elite, solve your enemies and avoid your goal, pc level 6",Donald Prust,1,S,2,"E411, E. Game Hall",9,,,,,,,,,,,,,,,,,,,,,,,
392,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400020,And Some Fly,"Enough! Baal has chased us, framed us, and just now bought a boat with money from our account. Sneaking aboard to get him seemed like a good idea So how come we’re now sitting in a cell?",Bruce Medic,1,S,2,"E304, E. Game Hall",10,,,,,,,,,,,,,,,,,,,,,,,
393,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400211,Azion's Conquest,"Your Kingdom, Xtar, is at war with the Azarians. Both sides weaken as another force strengthens Azion, the evil Wizard. You must stop Azion or convince the Azarians to join forces with you.",James Smidl,1,S,2,"E313, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
394,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400191,Bob's Revisited ,"Claustrophobic? This adventure isn’t for you, unless you’re a masochist.Caving isn’t safe with Bob’s. Explore ancient terror and delight, solve the exit riddle,& escape to drink to your skill!",Kirk Sorensen,1,S,2,"E309, E. Game Hall","08, 12",,,,,,,,,,,,,,,,,,,,,,,
395,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400117,Bob's The Word,"Saving Bobby is as easy as A.B.C. You are as good as your word. Roget the Wizard, is very good at words. Are you? Levels 5-9 provided. Problem solving and action, not role-playing. A Bob event.",Raymond Vaseleski,1,S,2,"E104, E. Game Hall","08, 12",,,,,,,,,,,,,,,,,,,,,,,
396,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400118,Bobzilla,"The ancient prophecy has come to pass. Mount Bob’s eruption unleashed Monsters to destroy the Earth. You must find a way to wake Bobzilla, the only hope to save all Bobland. A Bob event.",Carol Vaseleski,1,N,2,"E112, E. Game Hall","08, 12",,,,,,,,,,,,,,,,,,,,,,,
397,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400192,Castle Darkenmorr,"Your task is simple-sneak into a huge enemy Castle housing an army of Ores, find the battle plan, and escape with your lives. Of course, there are complications.",Brett King,1,S,2,"E613, E. Game Hall",7,,,,,,,,,,,,,,,,,,,,,,,
398,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400232,Crush The Fair Flower ,"Too many so shrewd have plotted her downfall. Now quick wit and fleet foot must fetch her chaste honor. Yet, beware those companions who seek to gain profit.",Claudia Vanderborght,1,I,2,"E606, E. Game Hall",13,,,,,,,,,,,,,,,,,,,,,,,
399,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400040,The Death Temple of Zarys V,A climactic battle of good vs. evil will determine if good will triumph or if the evil Zarys will destroy all. Test your skill against other players LVL 9-17,John Teske,1,S,2,"K42, Kilbourn Location: K47, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
400,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400208,Drows Live,GDRM HDLIWH TREVM GL GDRM HLMH LU GSV WFPV LU FIO BVZIH ZTL ZIV NRHHRMT ZMW HL ZIV GSV HLMH. URMW GSVM. Not a typo.,Penny Anderson,1,I,2,"E210, E. Game Hall",8,,,,,,,,,,,,,,,,,,,,,,,
401,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400130,The Final Journey,"This is it! The Journey Home III. If you played I and II, you can’t miss III. Don’t you know that the third sequel is always the best? What’s it called? The Death of Mordin Arlus!!!",Aaron Most,1,I,2,"E705, E. Game Hall",14,,,,,,,,,,,,,,,,,,,,,,,
402,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400125,Groo Lives!!!!!!,"Groo, Rufferto and the rest will be hacking, slashing and laughing through this undead GM adventure. Roleplaying stressed , believe it or not. Undead GM continues here!","Bob ""Darkforce"" Brinkman",1,I,2,"K45, Kilbourn",8,,,,,,,,,,,,,,,,,,,,,,,
403,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400025,The Heralding of a Dark Age,"The night has always been a frightening and unknown place to man. Night has always gone away, until now. Your party has been dispatched to deal with the evil. The night always has surprises!",Steve Minnihan,1,S,2,"E211, E. Game Hall",5,,,,,,,,,,,,,,,,,,,,,,,
404,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400314,"IsleWitch, Travel,Trial, Terror","The Ring of power is gone, all clues point to the Witch. She can overwhelm mortal men with a look. A call goes out for female adventurers,men are us less. Roleplaying! Ladies only, 16 and over.",Dale Goetzke,1,N,2,"ED5, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
405,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400455,"King's Birthday, Part III","You’d think the King would learn by now, but here he is having another party! Role-playing and individual achievement. Sense of humor required.",Kim Humphreys,1,S,2,"E511, E. Game Hall",15,,,,,,,,,,,,,,,,,,,,,,,
406,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400027,Loss of Magic,"There’s a drain open that’s sucking away the essence of magic. Can you break the codes, solve the riddles, and stop the loss before it is too late?",Guy-Joseph Guercio,1,N,2,"E404, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
407,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400021,Maximillian's Mystic Maze,"A mixed group of rogues must find their way out of Max’s Maze. They were prisoners of different sorts but unless they cooperate, all shall die. Can they survive each other? Role-playing a must.",Marshall Simpson,1,S,2,"E602, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
408,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400450,Mystery At The Broken Oar Inn,"A quiet evening by the hearth, not in this game! A night’s stay brings you into the middle of murder and mayhem. Who does the deed? It could be anyone, maybe even you! Do you wish to find the answer?",Janice Ours,1,S,2,"K41, Kilbourn","06, 08, 11, 13",,,,,,,,,,,,,,,,,,,,,,,
409,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400186,The Necromancer's Revenge,"Last year the last of the Elven ruins were shattered. Now,the Elves wish to break the chains which bars them from their ancient domain. Can you destroy the human artifact which bars the Elves?",James Robertson,1,I,2,"E509, E. Game Hall Location: E412, E. Game Hall",8,,,,,,,,,,,,,,,,,,,,,,,
410,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400013,"Over the Hill Gang 2, Old Blood","The Grand Duke is captured by the forces of Chaos and, once again the realms oldest adventurers are called out of retirement. Their mission—rescue the Duke and smash the forces of Chaos.",Vincent DiMeo Jr.,1,S,2,"E409, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
411,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400140,Plaza De Cosas I—The Trap,You will be trapped by an evil genius. Escape and save the Universe!,Clyde Forrester,1,N,2,"K43, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
412,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400047,Spell Game,"Ten little necromancers, playing the Wizard’s game 1 will survive gaining wizard fame. 4th year at GenCon. 10th level mages combat in a test of spell use.",Donald Herz,1,S,2,"E115, E. Game Hall",7,,,,,,,,,,,,,,,,,,,,,,,
413,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400219,We Won't Back Down,"Cowards!!! The town council has found you unworthy of your citizenship. Therefore, to prove yourselves, you must regain a vital artifact that will help all mankind and animalkind for you rangers.",Jeff Rothecker,1,I,2,"E614, E. Game Hall","07,11",,,,,,,,,,,,,,,,,,,,,,,
414,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400446,Hart Of Ramses,"A mysterious artifact is thrown into your hands. With it an adventure to the vally of the kings and apersonal meeting with Alister Crawly. Call of Cthulhu Game, for 8 players.",Troy Wilhelmson,2,S,2,"ED7, E. Game Hall","10, 14",,,,,,,,,,,,,,,,,,,,,,,
415,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400055,Journey Into Darkness VI,"Our brave investigators embark on their strangest voyage yet. From Chicago and the 1926 World Series to Washington, Pres. Coolidge and Nicaragua. Who will survive?",Jeffrey Carey,2,S,2,"E305, E. Game Hall",08 Final: 14,,,,,,,,,,,,,,,,,,,,,,,
416,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400058,Arctic Beach Blanket Bingo,A group of insane cultists race against another team of investigators to the city of the Old Ones. Be the first one on your block to have untold power! Make a depravity roll!,Adam Schellenberg,1,S,2,"E603, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
417,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400052,The Lament Configuration,Walk the fog shrouded streets of Victorian London as you solve a bizzare mystery where the only clue is an ornate puzzle box. This event is based on Clive Barker’s Hellraiser mythos.,Dave Pauwels,1,S,2,"E403, E. Game Hall","06, 10",,,,,,,,,,,,,,,,,,,,,,,
418,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400255,Perchance To Dream...,You are one of the arch-dreamers of Earth! Lord Nodens has quested you with a most difficult & dangerous task. Can you & your elite companions complete the mission & thwart Nyarlathotep?,Solomon Mintzer,1,S,2,"E604, E. Game Hall",8,,,,,,,,,,,,,,,,,,,,,,,
419,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400060,Twilight of the Elder Gods,The Miskatonic is robbed of certain forbidden texts a senseless massacre at the Arkham asylum... professors are hiding in cornerless rooms. Enter the city of the Gods and find out why.,Tim Schellenberg,1,S,2,"E607, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
420,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400409,Capitol Patrol 6,"Washington D.C.’s premiere superheroes return for the sixth straight year. This year the Patrol is finally back from the future, but are they ready for 1990? GMed by Champions authors.",Robert Bell,2,N,2,"K46, Kilbourn Location: K50, Kilbourn","08, 11 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
421,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400245,"Enforcers II, Old Flames",The Enforcers receive a mysterious warning of an impending doom from their past that threatens one of the team. But which one and what is the threat? Characters provided,Terry O'Brien ,2,I,2,"E203, E. Game Hall","07, 08 Final: 10",,,,,,,,,,,,,,,,,,,,,,,
422,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400321,Operation-Bank Rupture,"What is causing the power outages in the major cities of the U.S.A.? Why is the Treasury Department asking for assistance? Join Guardion Inc., Baltimore Branch, and foil Cobra’s plot.",Keith Darron,1,S,2,"E504, E. Game Hall",5,,,,,,,,,,,,,,,,,,,,,,,
423,1990,ROLE-PLAYING GAME,CHILL Game by Mayfair Games,400082,"A Time to Dance, A Time to Die","It was supposed to be a relaxing weekend spent learning to dance at the Resort where they filmed, Dirty Dancing. Then the dancers started dying, the dancing turned deadly and you stand against it!",Scott Thorne,1,N,2,"E609, E. Game Hall",13,,,,,,,,,,,,,,,,,,,,,,,
424,1990,ROLE-PLAYING GAME,CYBERPUNK by R. Talsorian Games,400318,Big Business ,"You are a member of a corporate team. The pay is good, but are you good enough to make it to payday",Aaron Young,1,I,2,"E506, E. Game Hall","10,14",,,,,,,,,,,,,,,,,,,,,,,
425,1990,ROLE-PLAYING GAME,CYBERPUNK by R. Talsorian Games,400254,The Hunter,"It was supposed to have been an easy mission. This easy mission, has turned into a race against an unseen killer. BYOC or use provided. Solo, cybergrunt preferred.",Troy Herman,1,I,2,"E204, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
